x,y,orientation,condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,cue_dur,stimulation_dur,post_fixation,opacity,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,.response,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,finalOpacity,postLoc,postOri,ID,frameRate,
,,,,0,48,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,450.3211336999666,114.0,6.0,2.0,72.0,0.020971520000000007,6,0.8365903000812978,1.0689445999450982,1,,,,,,,,,,1905_1145,60.0,
,,,,0,49,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,455.74028290016577,108.0,6.0,2.0,72.0,0.016777216000000005,6,0.33320780005306005,0.56522520002909,0,,,,,,,,,,1905_1145,60.0,
,,,,0,50,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,459.94152150000446,102.0,6.0,2.0,72.0,0.020971520000000007,7,0.8953021999914199,1.1783272998873144,1,,,,,,,,,,1905_1145,60.0,
,,,,0,51,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,464.66099360003136,114.0,6.0,2.0,72.0,0.020971520000000007,7,0.35194840002804995,0.6569472998380661,1,,,,,,,,,,1905_1145,60.0,
,,,,0,52,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,469.2218767001759,120.0,6.0,2.0,72.0,0.016777216000000005,7,0.9985197000205517,1.2486195999663323,0,,,,,,,,,,1905_1145,60.0,
,,,,0,53,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,474.48720770003274,102.0,6.0,2.0,72.0,0.020971520000000007,7,0.8094170999247581,0.9786763999145478,0,,,,,,,,,,1905_1145,60.0,
,,,,0,54,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,478.97448330000043,138.0,6.0,2.0,72.0,0.02621440000000001,1,0.3765618000179529,0.5626052999868989,1,,,,,,,,,,1905_1145,60.0,
,,,,0,55,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,483.64357340009883,150.0,6.0,2.0,72.0,0.02621440000000001,6,0.7914148001000285,1.022544100182131,0,,,,,,,,,,1905_1145,60.0,
,,,,0,56,-1,0,0.0969100130080564,0.03276800000000001,,,,,,,,,staircase,488.99686409998685,120.0,6.0,2.0,72.0,0.03276800000000001,7,1.0884147000033408,1.3213458999525756,1,,,,,,,,,,1905_1145,60.0,
,,,,0,57,-1,0,0.0969100130080564,0.03276800000000001,,,,,,,,,staircase,494.753585500177,126.0,6.0,2.0,72.0,0.03276800000000001,1,0.6758049000054598,0.8597163998056203,1,,,,,,,,,,1905_1145,60.0,
,,,,0,58,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,499.5205988001544,102.0,6.0,2.0,72.0,0.02621440000000001,6,0.8279562001116574,1.0602624001912773,1,,,,,,,,,,1905_1145,60.0,
,,,,0,59,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,504.0910070000682,126.0,6.0,2.0,72.0,0.02621440000000001,0,0.3277544002048671,0.5102808000519872,1,,,,,,,,,,1905_1145,60.0,
,,,,0,60,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,508.5110371001065,132.0,6.0,2.0,72.0,0.020971520000000007,6,0.4228046000935137,0.6395930000580847,1,,,,,,,,,,1905_1145,60.0,
,,,,0,61,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,513.4056133001577,96.0,6.0,2.0,72.0,0.020971520000000007,6,0.2952847999986261,0.4953508998733014,1,,,,,,,,,,1905_1145,60.0,
,,,,0,62,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,517.4873341000639,108.0,6.0,2.0,72.0,0.016777216000000005,6,0.45822879998013377,0.6272253000643104,0,,,,,,,,,,1905_1145,60.0,
,,,,0,63,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,521.7231060001068,108.0,6.0,2.0,72.0,0.020971520000000007,1,0.6943419999442995,0.8611971000209451,0,,,,,,,,,,1905_1145,60.0,
,,,,0,64,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,526.1917441000696,114.0,6.0,2.0,72.0,0.02621440000000001,7,0.2473734999075532,0.42994860000908375,1,,,,,,,,,,1905_1145,60.0,
,,,,0,65,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,530.3278398001567,102.0,6.0,2.0,72.0,0.02621440000000001,1,0.48464770009741187,0.6190337999723852,1,,,,,,,,,,1905_1145,60.0,
,,,,0,66,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,534.4520915001631,114.0,6.0,2.0,72.0,0.020971520000000007,0,0.5069719001185149,0.724517600145191,1,,,,,,,,,,1905_1145,60.0,
,,,,0,67,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,539.3218637001701,114.0,6.0,2.0,72.0,0.020971520000000007,7,1.3454423998482525,1.5118405998218805,0,,,,,,,,,,1905_1145,60.0,
,,,,0,68,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,544.5392500001471,108.0,6.0,2.0,72.0,0.02621440000000001,1,0.3446064000017941,0.49585340009070933,1,,,,,,,,,,1905_1145,60.0,
,,,,0,69,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,548.6427009000909,102.0,6.0,2.0,72.0,0.02621440000000001,7,0.6467348001897335,0.8468788000755012,1,,,,,,,,,,1905_1145,60.0,
-77,77,-45,allcue,0,-1,-1,0,,,,,,,,,,,session,552.9984665999655,114.0,6.0,2.0,72.0,0.02621440000000001,1,2.072175099980086,2.1736681000329554,,2,2.633106099907309,2.834713799878955,6,5.086781200021505,5.270483500091359,,,,1905_1145,60.0,
77,77,0,centralcue,0,-1,-1,0,,,,,,,,,,,session,567.3082515001297,96.0,6.0,2.0,72.0,0.02621440000000001,0,1.0606544001493603,1.2291439000982791,,5,1.4962629999499768,1.6961179000791162,6,1.4248981999699026,1.590959700057283,,,,1905_1145,60.0,
77,77,45,locationcue,0,-1,-1,0,,,,,,,,,,,session,575.2789382999763,150.0,6.0,2.0,72.0,0.02621440000000001,7,1.5197495000902563,1.7012148001231253,,5,1.405099700205028,1.5891312002204359,6,1.649463800014928,1.8169153998605907,,,,1905_1145,60.0,
77,77,90,nocue,0,-1,-1,0,,,,,,,,,,,session,585.0597379000392,144.0,6.0,2.0,72.0,0.02621440000000001,1,0.8107370999641716,0.9441567999310791,,2,4.080609300173819,4.280787100084126,0,0.99095100001432,1.2260398000944406,,,,1905_1145,60.0,
77,77,-45,allcue,0,-1,-1,0,,,,,,,,,,,session,595.7967291001696,132.0,6.0,2.0,72.0,0.02621440000000001,1,1.2330964000429958,1.3916303999722004,,5,1.0959232000168413,1.2755701998248696,7,2.311772899935022,2.4617526999209076,,,,1905_1145,60.0,
,,,,0,-1,-1,0,,,materials/instructions\11_session_start.png,605.0355201000348,618.2596389001701,0,13.038643799955025,13.222339499974623,0.022345300065353513,13.229907599976286,,,,,,,,,,,,,,,,,,,,,1905_1145,60.0,
,,,,0,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02438922240000001,,,1905_1145,60.0,
77,-77,45,centralcue,0,0,0,26,,,,,,,,,,,session,618.2755591000896,120.0,6.0,2.0,72.0,0.02438922240000001,1,2.2618944998830557,2.461842499906197,,4,1.449371799826622,1.6704551000148058,6,0.4671638000290841,0.617080100113526,,60.0,72.0,1905_1145,60.0,
77,77,-45,locationcue,0,1,1,32,,,,,,,,,,,session,629.2266220001038,102.0,6.0,2.0,72.0,0.02438922240000001,1,0.6233834999147803,0.7391985999420285,,5,0.864529199898243,1.014689799863845,6,1.5019124001264572,1.668785500107333,,63.0,51.0,1905_1145,60.0,
